epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,111.739,0.79293,0.52741,0.91676,0.99786,0.78571,0.78895,0.54342,1.30625,1.0265,1.03417,0.0009506,0.0009506,0.0009506
161,112.44,0.74923,0.49476,0.88102,0.99786,0.78571,0.78895,0.54342,1.30625,1.0265,1.03417,0.000944,0.000944,0.000944
162,113.104,0.8036,0.50864,0.88769,0.99794,0.78571,0.78986,0.54784,1.29493,1.02528,1.0278,0.0009374,0.0009374,0.0009374
163,113.769,0.75853,0.53376,0.85132,0.99794,0.78571,0.78986,0.54784,1.29493,1.02528,1.0278,0.0009308,0.0009308,0.0009308
164,114.474,0.71432,0.47,0.85665,0.99774,0.78571,0.79484,0.51482,1.27686,0.97942,1.03075,0.0009242,0.0009242,0.0009242
165,115.131,0.75489,0.51621,0.86897,0.99774,0.78571,0.79484,0.51482,1.27686,0.97942,1.03075,0.0009176,0.0009176,0.0009176
166,115.87,0.73214,0.49331,0.88379,0.99736,0.78571,0.82754,0.52047,1.28285,0.93328,1.03429,0.000911,0.000911,0.000911
167,116.538,0.74509,0.5034,0.87243,0.99736,0.78571,0.82754,0.52047,1.28285,0.93328,1.03429,0.0009044,0.0009044,0.0009044
168,116.268,0.82602,0.5921,0.92775,0.99713,0.78571,0.847,0.53628,1.28245,0.92699,1.01882,0.0008978,0.0008978,0.0008978
169,115.319,0.69582,0.48254,0.88246,0.99713,0.78571,0.847,0.53628,1.28245,0.92699,1.01882,0.0008912,0.0008912,0.0008912
170,116.026,0.69416,0.4995,0.84118,0.99426,0.78571,0.8134,0.53789,1.25697,0.95851,1.0015,0.0008846,0.0008846,0.0008846
171,116.744,0.71657,0.48681,0.88591,0.99426,0.78571,0.8134,0.53789,1.25697,0.95851,1.0015,0.000878,0.000878,0.000878
172,117.498,0.71139,0.47915,0.86587,0.994,0.78571,0.80266,0.52236,1.26099,0.93116,0.99373,0.0008714,0.0008714,0.0008714
173,118.165,0.72772,0.47355,0.87403,0.994,0.78571,0.80266,0.52236,1.26099,0.93116,0.99373,0.0008648,0.0008648,0.0008648
174,118.844,0.74276,0.47493,0.88304,0.99725,0.78571,0.79777,0.5115,1.26962,0.91883,0.99309,0.0008582,0.0008582,0.0008582
175,119.496,0.7084,0.45992,0.87217,0.99725,0.78571,0.79777,0.5115,1.26962,0.91883,0.99309,0.0008516,0.0008516,0.0008516
176,120.224,0.70412,0.47333,0.85746,0.99558,0.78571,0.80558,0.51944,1.26374,0.89453,1.00632,0.000845,0.000845,0.000845
177,120.887,0.67488,0.50001,0.8653,0.99558,0.78571,0.80558,0.51944,1.26374,0.89453,1.00632,0.0008384,0.0008384,0.0008384
178,121.582,0.71048,0.51434,0.88059,0.99734,0.78571,0.86901,0.54313,1.26191,0.8794,1.01356,0.0008318,0.0008318,0.0008318
179,122.256,0.64227,0.46341,0.87199,0.99734,0.78571,0.86901,0.54313,1.26191,0.8794,1.01356,0.0008252,0.0008252,0.0008252
180,122.955,0.75447,0.51326,0.87477,1,0.81964,0.88959,0.56107,1.26226,0.87006,1.00989,0.0008186,0.0008186,0.0008186
